CLUSTER_NM,SITE_ID,HOST_ID,GRAPH_ID,SERVER_IP,PORT_NO,SUBMIT_DATE,TOTAL_SUBMIT_COUNT,TOTAL_SUBMIT_CHR_COUNT,INS_TS,INS_BY,UPD_TS,UPD_BY
SOUTH,2,34,11,10.92.208.130,2890,14-02-2022,2036171,2036171,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,34,12,10.92.208.130,2891,14-02-2022,4145546,4171941,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,35,11,10.92.208.131,2895,14-02-2022,1087546,1087546,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,35,12,10.92.208.131,2896,14-02-2022,452500,452500,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,36,11,10.92.208.132,2900,14-02-2022,3956,3956,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,36,12,10.92.208.132,2901,14-02-2022,4640679,4640679,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD,09-MAR-22 12.11.48.930923000 PM,SKVS_DB_PRD
SOUTH,2,11,11,10.92.208.104,2775,15-02-2022,6533355,6533355,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,11,12,10.92.208.104,2776,15-02-2022,16784430,16784430,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,12,11,10.92.208.105,2780,15-02-2022,606622,606622,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
SOUTH,2,12,12,10.92.208.105,2781,15-02-2022,232813,232813,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD,09-MAR-22 12.29.09.569331000 PM,SKVS_DB_PRD
