CLUSTER_NM,SITE_ID,HOST_ID,GRAPH_ID,SERVER_IP,PORT_NO,SUBMIT_DATE,TOTAL_SUBMIT_COUNT,TOTAL_SUBMIT_CHR_COUNT,INS_TS,INS_BY,UPD_TS,UPD_BY
NORTH,1,17,12,10.222.197.163,2806,18-Feb-22,12431354,12431354,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,18,11,10.222.197.164,2810,18-Feb-22,4592259,4721219,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,18,12,10.222.197.164,2811,18-Feb-22,13184309,13373920,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,19,11,10.222.197.165,2815,18-Feb-22,17327330,17785196,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,19,12,10.222.197.165,2816,18-Feb-22,10374491,10943461,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,20,11,10.222.197.166,2820,18-Feb-22,4398040,4995140,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,20,12,10.222.197.166,2821,18-Feb-22,8823316,9441694,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,31,11,10.222.196.206,2875,18-Feb-22,1124,1124,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,31,12,10.222.196.206,2876,18-Feb-22,1122,1122,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,32,11,10.222.196.207,2880,18-Feb-22,2631670,2631670,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,32,12,10.222.196.207,2881,18-Feb-22,1128,1128,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,33,11,10.222.196.208,2885,18-Feb-22,4187470,4676235,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,33,12,10.222.196.208,2886,18-Feb-22,406422,406422,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,34,11,10.222.196.209,2890,18-Feb-22,2179764,2179764,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,34,12,10.222.196.209,2891,18-Feb-22,8771391,8771391,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,35,11,10.222.196.239,2895,18-Feb-22,1545846,1545846,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,35,12,10.222.196.239,2896,18-Feb-22,813455,813455,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,36,11,10.222.196.245,2900,18-Feb-22,564,564,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,36,12,10.222.196.245,2901,18-Feb-22,11251909,11251909,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD,09-MAR-22 03.09.37.814852000 PM,SKVN_DB_PRD
NORTH,1,11,11,10.222.196.189,2775,19-Feb-22,382939,382939,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,11,12,10.222.196.189,2776,19-Feb-22,244513,244513,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,12,11,10.222.196.190,2780,19-Feb-22,622164,622164,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,12,12,10.222.196.190,2781,19-Feb-22,432228,432475,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,13,11,10.222.196.191,2785,19-Feb-22,305222,305222,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,13,12,10.222.196.191,2786,19-Feb-22,494826,558521,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,14,11,10.222.196.192,2790,19-Feb-22,299826,299826,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,14,12,10.222.196.192,2791,19-Feb-22,2435665,2438810,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,15,11,10.222.197.161,2795,19-Feb-22,1880297,1880297,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,15,12,10.222.197.161,2796,19-Feb-22,1617000,1617000,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,16,11,10.222.197.162,2800,19-Feb-22,10038808,10214334,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,16,12,10.222.197.162,2801,19-Feb-22,4198014,4198014,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,17,11,10.222.197.163,2805,19-Feb-22,19645286,19699381,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,17,12,10.222.197.163,2806,19-Feb-22,8477049,8477049,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,18,11,10.222.197.164,2810,19-Feb-22,2034245,2143780,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,18,12,10.222.197.164,2811,19-Feb-22,13477664,13684320,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,19,11,10.222.197.165,2815,19-Feb-22,16121446,16488551,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,19,12,10.222.197.165,2816,19-Feb-22,5393943,5933902,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD,09-MAR-22 03.16.10.492008000 PM,SKVN_DB_PRD
NORTH,1,11,11,10.222.196.189,2775,12-Feb-22,6324,6324,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD,09-MAR-22 02.42.52.597278000 PM,SKVN_DB_PRD
